# m1_source	m2_source
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
4.716255090152290563e+01	3.821534563471600876e+01
